scholarship,scholarship_url
Recruitment Bursaries,
Amazon Recruitment Bursary,/amazon/
Standard Bank Group Bursary,https://studytrust.org.za/standardbank/
Santam Bursary,/santam/
Toyota SA Motors Bursary,https://studytrust.org.za/toyota/
Investec Tech Scholarship,
The Cisco Charitable Foundation Trust South Africa Bursary,/the-cisco-charitable-foundation-trust-south-africa-bursary-programme/
Old Mutual Investment Group Imfundo Trust Scholarship,/old-mutual/
Promaths Bursary,/promaths/
IITPSA Bursary,/iitpsa/
TFG Data Science and Leadership Fellowship,
Amandla Omoya Trust Bursary,amandla-omoya-trust-bursary-programme
Aurora Wind Power Bursary,/aurora-wind-power
Khobab Wind Farm Bursary,/khobab-wind-farm
Letsatsi BoruthoTrust Bursary,/letsatsi-borutho-trust-bursary-programme
Matla A Bokone Solar Bursary,/matla-a-bakone-solar/
Roggeveld Wind Power Bursary,/roggeveld-wind-power
Sibona Ilanga Trust Bursary,/sibona-ilanga-trust-bursary-programme
Sishen Solar Facility Bursary,/sishen-solar-facility
Kangnas Wind Farm Bursary,/kangnas-wind-farm/
Kathu Solar Park Bursary,kathu-solar-wind-farm/
DAFI Bursary,/dafi-scholarship/
